"NAME","points","wins","draws","losses"
"Sápmi","1129.18","11","2","13"
"Sark","1108.95","0","0","4"
"Saudi Arabia","1446.19","498","248","308"
"Scotland","1410.98","924","465","730"
"Senegal","1200.4","272","171","206"
"Serbia","1391.81","487","273","423"
"Seychelles","746.65","19","26","116"
"Shetland","1095.9","18","7","26"
"Sierra Leone","1047.97","85","72","140"
"Silesia","1152.2","3","2","3"
"Singapore","1003.06","253","139","379"
"Sint Maarten","1012.39","10","5","22"
"Slovakia","1341.84","383","197","366"
"Slovenia","1312.2","242","164","298"
"Solomon Islands","1140.83","101","42","112"
"Somalia","734.82","10","12","85"
"Somaliland","1144.84","2","0","3"
"South Africa","1294.91","307","194","203"
"South Korea","1475.26","455","222","188"
"South Ossetia","1131.86","4","3","7"
"South Sudan","892.4","10","10","49"
"Spain","1740.41","2031","805","932"
"Sri Lanka","727.77","51","38","148"
"st kitts and nevis","1111.4","0","1","4"
"st lucia","1067.97","2","1","12"
"st vincent and the grenadines","1055.91","3","3","15"
"Sudan","1269.96","269","176","278"
"surinam","1098.07","32","10","42"
"Suriname","1134.94","155","81","114"
"Surrey","1154.8","1","0","0"
"swaziland","1099.15","20","13","45"
"Sweden","1389.09","893","472","702"
"Switzerland","1422.86","744","447","884"
"Syria","1278.65","241","159","243"
"Székely Land","1095.44","6","3","14"
"Tahiti","1176.73","142","43","120"
"Tajikistan","1094.39","106","49","105"
"Tamil Eelam","1102.6","6","0","11"
"Tanzania","1179.25","197","180","290"
"Thailand","1250.89","313","195","343"
"Tibet","1056.37","0","1","12"
"Timor Leste","1045.62","1","1","7"
"Togo","1144.31","138","116","195"
"Tonga","911.45","20","10","56"
"Trinidad and Tobago","1248.76","407","175","323"
"Tunisia","1454.82","523","314","309"
"Turkey","1338.83","634","405","695"
"Turkmenistan","1137.29","96","52","104"
"Turks and Caicos Islands","950.14","6","2","21"
"Tuvalu","994.03","5","4","25"
"Two Sicilies","1130.8","1","0","3"
"U.S. Virgin Islands","812.77","7","6","43"
"Uganda","1228.91","299","190","229"
"Ukraine","1430.48","557","309","427"
"United Arab Emirates","1311.15","327","228","337"
"United Koreans in Japan","1139.92","2","6","3"
"United States","1450.03","444","216","364"
"Uruguay","1500.21","862","504","738"
"us virgin islands","1082.89","2","2","9"
"Uzbekistan","1329.54","236","129","220"
"Vanuatu","1162.24","92","38","134"
"Vatican City","1128.66","0","2","4"
"Venezuela","1344.35","286","269","708"
"Vietnam","1125.19","155","78","172"
"Vietnam Republic","1121.49","66","27","60"
"Wales","918.79","289","211","535"
"Wallis Islands and Futuna","1035.22","5","0","19"
"Western Armenia","1135.21","5","4","7"
"Western Australia","1075.27","9","3","17"
"Western Isles","1113.31","11","3","14"
"Western Sahara","1139.85","2","0","3"
"Yemen","922.4","56","60","197"
"Yemen DPR","1087.65","5","3","16"
"Ynys Môn","1234.89","32","11","18"
"Yorkshire","1174.33","5","1","1"
"Yugoslavia","1437.36","223","98","160"
"Zambia","1323.42","416","246","265"
"Zanzibar","935.37","47","45","167"
"Zimbabwe","1174.95","250","156","206"
